gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss,,,,,Performance,,,
1,1,1,1,1,1,0.022857437,,,,,,,,
1,0,1,1,0,1,0.015589901,,,,,,,,
0,1,1,1,1,1,0.000219523,,,,,,,,
1,1,1,1,1,1,0.004943752,,,,,,,,
0,1,1,0,1,1,0.007070652,,,,,,,,
1,1,1,1,1,1,0.003682205,,,,,,,,
1,0,1,1,0,1,0.01842925,,,,,,,,
1,1,1,1,1,1,0.004297518,,,,,,,,
1,0,1,1,0,1,0.000123128,,,,,,,,
1,1,1,1,1,1,0.010521467,,,,,,,,
0,0,0,0,0,0,0.071808904,,,,,,,,
1,0,1,1,0,1,0.027752567,,,,,,,,
0,1,1,1,1,1,0.000108567,,,,,,,,
1,1,1,1,1,1,0.019968022,,,,,,,,
0,1,1,0,1,1,0.010056697,,,,,,,,
1,1,1,1,1,1,0.015954865,,,,,,,,
0,1,0,0,1,0,0.01940731,,,,,,,,
1,0,0,1,0,0,0.01708015,,,,,,,,
1,1,1,1,1,1,0.025695812,,,,,,,,
0,1,1,0,1,1,0.024739834,,,,,,,,
0,1,1,0,1,1,0.007448019,,,,,,,,
1,1,1,1,1,1,0.016286422,,,,,,,,
1,1,1,1,1,1,0.002643824,,,,,,,,
0,0,0,0,0,0,0.016446618,,,,,,,,
1,1,1,1,1,1,0.054860517,,,,,,,,
1,0,1,1,0,1,0.020596052,,,,,,,,
1,1,0,1,1,0,0.007258328,,,,,,,,
0,1,1,0,1,1,0.017143507,,,,,,,,
1,1,1,1,1,1,0.006520298,,,,,,,,
0,0,1,0,0,1,0.03756601,,,,,,,,
1,0,0,1,1,0,0.000234965,,,,,,,,
0,0,1,0,0,0,0.02994608,,,,,,,,
1,1,1,1,1,1,0.015746025,,,,,,,,
1,0,1,1,0,1,0.007174389,,,,,,,,
0,0,1,0,0,1,0.006513787,,,,,,,,
0,1,1,0,1,1,0.04553962,,,,,,,,
1,0,1,1,0,1,0.01751311,,,,,,,,
1,1,1,1,1,1,0.018748716,,,,,,,,
1,1,1,1,1,1,0.027497035,,,,,,,,
1,1,1,1,1,1,0.01213145,,,,,,,,
1,0,0,1,0,0,0.013461286,,,,,,,,
0,0,1,0,0,1,0.034997113,,,,,,,,
1,1,0,1,1,0,0.006839914,,,,,,,,
1,1,0,1,1,0,0.006437114,,,,,,,,
1,0,1,1,1,1,0.0070418,,,,,,,,
0,1,1,0,1,1,0.007490712,,,,,,,,
1,1,1,1,1,1,0.006253492,,,,,,,,
1,0,1,1,0,1,0.018436873,,,,,,,,
1,0,1,1,0,0,0.000250458,,,,,,,,
1,1,1,1,1,1,0.010934956,,,,,,,,
0,1,1,0,1,1,0.012692923,,,,,,,,
0,0,1,0,0,1,0.009254861,,,,,,,,
1,1,0,1,1,1,0.005927321,,,,,,,,
1,0,0,1,0,0,0.015185109,,,,,,,,
1,0,1,1,0,1,0.014326899,,,,,,,,
0,1,1,0,1,1,0.007862996,,,,,,,,
1,0,0,1,1,1,8.97E-05,,,,,,,,
0,1,1,0,1,1,0.024223922,,,,,,,,
1,1,0,1,1,0,0.031602923,,,,,,,,
0,1,0,1,1,1,0.000335806,,,,,,,,
1,1,1,1,1,1,0.007109067,,,,,,,,
1,0,1,1,0,1,0.012889891,,,,,,,,
0,1,1,0,1,1,0.014052463,,,,,,,,
0,1,0,0,1,0,0.007837587,,,,,,,,
1,1,1,1,1,1,0.023189321,,,,,,,,
1,1,0,1,1,0,0.01661276,,,,,,,,
0,1,1,0,1,1,0.017378066,,,,,,,,
0,1,1,0,1,1,0.01156026,,,,,,,,
1,1,1,1,1,1,0.013417471,,,,,,,,
1,1,1,1,1,1,0.014801836,,,,,,,,
1,1,0,1,1,0,0.026529524,,,,,,,,
0,1,1,0,1,1,0.013665515,,,,,,,,
1,1,1,1,1,1,0.048971783,,,,,,,,
0,1,1,1,1,1,0.012374282,,,,,,,,
0,0,1,1,0,1,0.013277235,,,,,,,,
1,0,1,1,0,1,0.011036318,,,,,,,,
0,1,1,0,1,1,0.011627445,,,,,,,,
1,1,0,1,1,0,0.007886434,,,,,,,,
0,1,1,0,1,1,0.012626193,,,,,,,,
1,0,1,1,0,1,0.013766362,,,,,,,,
0,1,1,0,1,1,0.008827598,,,,,,,,
0,1,1,0,1,1,0.011998526,,,,,,,,
0,1,1,0,1,1,0.009258197,,,,,,,,
1,1,1,1,1,1,0.01269383,,,,,,,,
1,1,1,1,1,1,0.030372344,,,,,,,,
1,1,0,1,1,0,0.000479627,,,,,,,,
1,0,0,1,0,0,0.023809358,,,,,,,,
1,0,1,1,0,1,0.00648455,,,,,,,,
0,1,0,0,1,0,0.014796733,,,,,,,,
1,0,0,1,0,0,0.037365954,,,,,,,,
1,1,1,1,1,1,0.009221708,,,,,,,,
0,0,1,0,0,1,0.021228928,,,,,,,,
0,1,1,0,1,1,0.011678945,,,,,,,,
1,0,1,1,0,1,0.06473208,,,,,,,,
0,1,1,0,1,1,0.016864136,,,,,,,,
1,0,1,1,0,1,0.018284846,,,,,,,,
0,1,1,0,1,1,0.02155402,,,,,,,,
1,1,1,1,1,1,0.013852354,,,,,,,,
1,0,1,1,0,1,0.002400175,,,,,,,,
1,1,1,1,1,1,0.006810927,,,,,,,,
0,1,0,0,1,0,0.009266842,,,,,,,,
1,0,0,1,0,0,0.012283237,,,,,,,,
1,1,0,1,1,0,0.030720027,,,,,,,,
1,0,0,1,0,0,0.018706763,,,,,,,,
1,1,1,1,1,1,0.040420532,,,,,,,,
1,1,0,1,1,0,0.032861125,,,,,,,,
0,1,0,0,1,0,0.003027305,,,,,,,,
1,1,1,1,1,1,0.01642375,,,,,,,,
1,0,1,1,0,1,0.003759895,,,,,,,,
1,0,1,1,0,1,0.01043951,,,,,,,,
0,0,1,0,0,1,0.038280167,,,,,,,,
1,1,0,1,1,0,0.010862265,,,,,,,,
0,0,0,0,0,0,0.016179223,,,,,,,,
1,1,1,1,1,1,0.001327123,,,,,,,,
0,0,0,0,0,0,0.018298628,,,,,,,,
1,1,1,1,1,1,0.02217011,,,,,,,,
0,0,1,0,0,1,0.010844407,,,,,,,,
1,1,0,1,1,1,0.055541262,,,,,,,,
1,0,1,1,0,1,0.010888637,,,,,,,,
0,1,1,0,1,1,0.021018175,,,,,,,,
1,1,1,1,1,1,0.028089069,,,,,,,,
0,1,1,0,1,1,0.029309222,,,,,,,,
1,1,1,1,1,1,0.02332041,,,,,,,,
1,1,1,1,1,1,0.011756461,,,,,,,,
1,0,1,1,1,1,8.32E-05,,,,,,,,
1,0,1,1,1,1,0.006635945,,,,,,,,
1,0,1,1,0,1,0.026511127,,,,,,,,
1,1,1,1,1,1,0.01368484,,,,,,,,
1,1,1,1,1,1,0.016115699,,,,,,,,
1,1,1,1,1,1,0.002203568,,,,,,,,
0,1,0,0,1,0,0.011470247,,,,,,,,
1,0,1,1,0,1,0.025537403,,,,,,,,
1,1,1,1,1,1,0.018931106,,,,,,,,
1,1,0,1,1,0,0.001778584,,,,,,,,
1,0,1,1,0,1,0.011419517,,,,,,,,
0,0,0,0,0,0,0.017900502,,,,,,,,
1,1,1,1,1,1,0.005253308,,,,,,,,
1,1,1,1,1,1,0.022112675,,,,,,,,
1,1,1,1,1,1,0.019059196,,,,,,,,
0,1,1,0,1,1,0.006504859,,,,,,,,
1,0,0,1,0,0,0.014762675,,,,,,,,
0,1,1,0,1,1,0.035451267,,,,,,,,
0,0,1,0,0,1,0.003889357,,,,,,,,
1,1,1,1,1,1,0.034832247,,,,,,,,
1,0,0,1,0,0,0.038865555,,,,,,,,
0,1,1,0,1,1,0.009691625,,,,,,,,
1,0,0,1,0,0,0.010597207,,,,,,,,
0,1,1,1,1,1,6.90E-05,,,,,,,,
1,1,1,1,1,1,0.003093589,,,,,,,,
1,1,1,1,1,1,0.003741821,,,,,,,,
1,0,1,1,0,1,0.02309216,,,,,,,,
0,1,1,0,1,1,0.022714045,,,,,,,,
0,0,0,0,0,0,0.013928678,,,,,,,,
0,1,1,0,1,1,0.011835375,,,,,,,,
1,1,1,1,1,1,0.020270431,,,,,,,,
0,1,0,0,1,0,0.018430475,,,,,,,,
1,1,1,1,1,1,0.016793407,,,,,,,,
1,1,1,1,1,1,0.008600268,,,,,,,,
0,0,0,0,0,0,0.024218041,,,,,,,,
0,1,1,0,1,1,0.014129264,,,,,,,,
1,1,1,1,1,1,0.007474074,,,,,,,,
1,1,1,1,1,1,0.027988926,,,,,,,,
1,0,1,1,0,1,0.005145909,,,,,,,,
0,1,1,0,1,1,0.0217641,,,,,,,,
0,1,1,0,1,1,0.019562574,,,,,,,,
0,0,1,0,0,1,0.035614386,,,,,,,,
0,1,1,0,1,1,0.002192571,,,,,,,,
1,0,0,1,0,0,0.047126163,,,,,,,,
1,1,1,1,1,1,0.027677996,,,,,,,,
1,1,1,1,1,1,0.008815098,,,,,,,,
1,1,1,1,1,1,0.010939061,,,,,,,,
1,1,1,1,1,1,0.029407656,,,,,,,,
1,0,0,1,0,0,0.016368318,,,,,,,,
1,1,1,1,1,1,0.001822106,,,,,,,,
0,1,1,0,1,1,0.05711046,,,,,,,,
0,1,0,0,1,1,0.003007629,,,,,,,,
1,0,1,1,0,1,0.026062133,,,,,,,,
0,1,1,0,1,1,0.007335227,,,,,,,,
0,1,1,0,1,1,0.009017425,,,,,,,,
1,1,0,1,1,0,0.007196605,,,,,,,,
0,1,0,0,1,0,0.035632215,,,,,,,,
0,0,1,0,0,1,0.027758308,,,,,,,,
1,1,1,1,1,1,0.023492055,,,,,,,,
1,1,0,1,1,0,0.021391718,,,,,,,,
0,1,1,0,0,1,0.02637996,,,,,,,,
0,1,1,0,1,1,0.03522931,,,,,,,,
0,1,1,0,1,1,0.010288183,,,,,,,,
1,1,1,1,1,1,0.009082733,,,,,,,,
1,1,1,1,1,1,0.009865635,,,,,,,,
0,1,0,0,1,0,0.013235706,,,,,,,,
1,1,1,1,1,1,0.005324518,,,,,,,,
0,0,1,0,0,1,0.00290246,,,,,,,,
0,1,1,0,1,1,0.002715665,,,,,,,,
1,0,1,1,0,1,0.024184799,,,,,,,,
1,1,1,1,1,1,0.008064889,,,,,,,,
0,0,1,0,0,1,0.015953487,,,,,,,,
1,0,0,1,1,1,0.006575465,,,,,,,,
0,1,0,0,1,0,0.002577117,,,,,,,,
1,1,1,1,1,1,0.011122827,,,,,,,,
1,1,1,1,1,1,0.020744123,,,,,,,,
1,0,1,1,1,1,0.000558261,,,,,,,,
1,1,1,1,1,1,0.015501061,,,,,,,,
1,1,1,1,1,1,0.003048333,,,,,,,,
0,1,1,0,1,1,0.006448986,,,,,,,,
0,1,1,1,1,1,0.004961213,,,,,,,,
1,1,1,1,1,1,0.010794867,,,,,,,,
1,1,1,1,1,1,0.002448768,,,,,,,,
1,0,1,1,0,1,0.03365754,,,,,,,,
1,0,1,1,0,1,0.014461611,,,,,,,,
0,0,0,0,0,1,0.007787547,,,,,,,,
1,0,0,0,0,0,0.027994659,,,,,,,,
1,1,1,1,1,1,0.024326796,,,,,,,,
0,1,0,0,1,0,0.04807089,,,,,,,,
0,1,0,0,1,0,0.019375926,,,,,,,,
1,1,1,1,1,1,0.00924377,,,,,,,,
1,1,0,1,1,0,0.016780617,,,,,,,,
1,1,0,1,1,0,0.006924543,,,,,,,,
1,0,1,1,0,1,0.012182253,,,,,,,,
1,1,1,1,1,1,0.009136969,,,,,,,,
1,0,1,1,0,1,0.006075832,,,,,,,,
0,1,1,0,1,1,0.018983847,,,,,,,,
1,1,1,1,1,1,0.004940905,,,,,,,,
0,1,1,0,1,1,0.009473022,,,,,,,,
1,1,1,1,1,1,0.006864506,,,,,,,,
0,1,0,0,1,0,0.005279239,,,,,,,,
0,1,1,0,1,1,0.008512843,,,,,,,,
0,1,0,0,1,0,0.004991754,,,,,,,,
1,1,1,1,1,1,0.021278748,,,,,,,,
1,0,1,1,0,1,0.018109396,,,,,,,,
1,1,1,1,1,1,0.05947035,,,,,,,,
1,0,1,1,0,1,0.043571528,,,,,,,,
0,1,0,0,1,0,0.003808802,,,,,,,,
0,0,1,0,0,1,0.027320335,,,,,,,,
1,0,1,1,0,1,0.004326809,,,,,,,,
0,0,1,1,1,1,0.006635061,,,,,,,,
0,1,0,0,1,0,0.002177656,,,,,,,,
1,0,1,1,0,1,0.009190701,,,,,,,,
1,0,1,1,0,1,0.014909621,,,,,,,,
0,1,1,0,1,1,0.015631933,,,,,,,,
0,0,1,0,0,1,0.025342118,,,,,,,,
0,0,1,0,0,1,0.009472072,,,,,,,,
0,1,0,0,1,0,0.018534373,,,,,,,,
0,1,1,0,1,1,0.02843926,,,,,,,,
1,0,1,1,0,1,0.029637173,,,,,,,,
0,1,1,0,1,1,0.009691102,,,,,,,,
1,0,0,1,0,0,0.012769218,,,,,,,,
1,1,1,1,1,1,0.01361546,,,,,,,,
0,1,1,0,1,1,0.005426037,,,,,,,,
1,1,1,1,1,1,0.013558771,,,,,,,,
1,1,1,1,1,1,0.008666713,,,,,,,,
1,0,1,1,0,1,0.014308294,,,,,,,,
1,1,1,1,1,1,0.011890844,,,,,,,,
1,1,1,1,1,1,0.01694121,,,,,,,,
1,0,1,1,1,1,0.008050866,,,,,,,,
0,1,1,1,1,1,0.006490106,,,,,,,,
0,1,1,0,1,1,0.018241666,,,,,,,,
0,1,1,0,1,1,0.009502638,,,,,,,,
1,1,1,1,1,1,0.013109433,,,,,,,,
0,1,1,1,1,1,0.012940999,,,,,,,,
0,1,1,0,1,1,0.010512182,,,,,,,,
1,1,1,1,1,1,0.023466611,,,,,,,,
0,1,1,1,1,1,0.009478257,,,,,,,,
1,1,0,0,1,0,0.015260038,,,,,,,,
1,1,1,1,1,1,0.014493141,,,,,,,,
1,0,0,1,0,0,0.013004428,,,,,,,,
1,0,0,1,0,0,0.023299005,,,,,,,,
1,1,1,1,1,1,0.015007827,,,,,,,,
1,1,1,1,1,1,0.022265743,,,,,,,,
1,0,1,1,0,1,0.009044853,,,,,,,,
1,1,1,1,1,1,0.004555864,,,,,,,,
1,1,0,1,1,0,0.001267484,,,,,,,,
0,1,1,0,1,1,0.025766797,,,,,,,,
1,1,1,1,1,1,0.006750808,,,,,,,,
1,1,1,1,1,1,0.021663876,,,,,,,,
1,1,1,1,1,1,0.01753722,,,,,,,,
1,1,1,1,1,1,0.009307822,,,,,,,,
0,0,0,0,0,0,0.01907864,,,,,,,,
1,1,0,1,1,0,0.01251131,,,,,,,,
1,1,1,1,1,1,0.004624681,,,,,,,,
1,0,1,1,0,1,0.039254196,,,,,,,,
1,0,1,1,0,1,0.028555714,,,,,,,,
1,0,0,1,0,0,0.024826856,,,,,,,,
0,1,1,0,1,1,0.016178079,,,,,,,,
0,1,1,0,1,1,0.015579466,,,,,,,,
1,0,1,1,1,1,0.056093264,,,,,,,,
1,0,1,1,1,1,0.006269182,,,,,,,,
1,1,1,1,1,1,0.016397957,,,,,,,,
0,1,1,0,1,1,0.01691139,,,,,,,,
0,1,1,0,1,1,0.004700717,,,,,,,,
0,1,0,0,1,0,0.01601848,,,,,,,,
1,1,1,1,1,1,0.011743119,,,,,,,,
0,1,1,0,1,1,0.04488568,,,,,,,,
0,1,1,0,1,1,0.01177107,,,,,,,,
0,1,0,0,1,0,0.006048716,,,,,,,,
0,1,0,0,1,0,0.010122353,,,,,,,,
0,0,1,0,0,1,0.014911578,,,,,,,,
0,1,1,0,1,1,0.016741514,,,,,,,,
1,1,1,1,1,1,0.003167431,,,,,,,,
0,1,0,0,1,0,0.007616352,,,,,,,,
0,1,1,0,1,1,0.001078726,,,,,,,,
1,1,1,1,1,1,0.014015829,,,,,,,,
0,1,1,0,1,1,0.019025447,,,,,,,,
1,1,1,1,1,1,0.007282131,,,,,,,,
1,1,1,1,1,1,0.012700227,,,,,,,,
1,0,1,1,0,1,0.009119092,,,,,,,,
1,0,1,1,0,1,0.014416204,,,,,,,,
0,1,1,0,1,1,0.005075967,,,,,,,,
1,1,0,1,1,0,0.013889923,,,,,,,,
0,1,0,0,1,0,0.007528273,,,,,,,,
1,1,1,1,1,1,0.008945345,,,,,,,,
0,1,0,1,1,1,0.00601183,,,,,,,,
1,0,1,1,0,1,0.012056687,,,,,,,,
1,1,1,1,1,1,0.005656979,,,,,,,,
1,0,1,1,0,1,0.017748851,,,,,,,,
1,1,1,1,1,1,8.74E-05,,,,,,,,
1,0,1,1,0,1,0.013789999,,,,,,,,
1,0,1,1,1,1,0.062781796,,,,,,,,
1,1,1,1,1,1,0.013340838,,,,,,,,
1,1,0,1,1,0,0.005328762,,,,,,,,
0,0,0,1,1,1,0.006099079,,,,,,,,
0,1,1,0,1,1,0.007903788,,,,,,,,
1,1,1,1,1,1,0.017922912,,,,,,,,
1,1,0,1,1,0,0.021329252,,,,,,,,
1,0,1,1,0,1,0.01280384,,,,,,,,
0,1,1,0,1,1,0.007178158,,,,,,,,
0,1,1,1,1,1,0.059052974,,,,,,,,
1,0,1,1,1,1,0.056456804,,,,,,,,
1,1,0,1,1,0,0.011839173,,,,,,,,
1,1,0,1,1,0,0.07871651,,,,,,,,
1,0,1,1,0,1,0.004210892,,,,,,,,
0,1,1,0,1,1,0.036863357,,,,,,,,
0,1,1,0,1,1,0.017434644,,,,,,,,
1,1,1,1,1,1,0.009468483,,,,,,,,
0,1,1,0,1,1,0.004583781,,,,,,,,
0,1,1,0,1,1,0.005386445,,,,,,,,
1,1,1,1,1,1,0.032323178,,,,,,,,
1,1,1,1,1,1,0.015208005,,,,,,,,
1,0,1,1,1,1,0.053998023,,,,,,,,
1,1,1,1,1,1,0.028227055,,,,,,,,
1,1,1,1,1,1,0.025820341,,,,,,,,
1,1,1,1,1,1,0.014766249,,,,,,,,
0,1,1,0,1,1,0.013075249,,,,,,,,
0,1,0,0,1,0,0.002972804,,,,,,,,
1,0,0,1,0,0,0.009807449,,,,,,,,
0,0,0,1,0,0,0.000225595,,,,,,,,
1,1,1,1,1,1,0.000916175,,,,,,,,
0,1,1,0,1,1,0.028028777,,,,,,,,
1,1,0,1,1,0,0.021525206,,,,,,,,
0,1,0,0,1,0,0.002706091,,,,,,,,
0,1,0,0,1,0,0.014049784,,,,,,,,
1,1,1,1,1,1,0.045524593,,,,,,,,
0,1,1,0,1,1,0.012214903,,,,,,,,
0,0,1,0,0,1,0.00781563,,,,,,,,
0,1,1,1,1,1,0.014388668,,,,,,,,
1,1,1,1,1,1,0.00394505,,,,,,,,
0,0,1,0,0,1,0.00875011,,,,,,,,
1,0,1,1,0,1,0.020320384,,,,,,,,
1,1,1,1,1,1,0.008152633,,,,,,,,
1,1,0,1,1,0,0.019346869,,,,,,,,
1,0,1,1,0,1,0.002272682,,,,,,,,
0,0,0,0,0,0,0.000174147,,,,,,,,
1,1,1,1,1,1,0.016018571,,,,,,,,
1,0,1,1,1,1,0.003643186,,,,,,,,
1,1,1,1,1,1,0.020137662,,,,,,,,
1,1,1,1,1,1,0.036223784,,,,,,,,
1,1,1,1,1,1,0.006410113,,,,,,,,
1,0,1,1,0,1,0.020106463,,,,,,,,
1,1,1,1,1,1,0.014392104,,,,,,,,
1,1,1,1,1,1,0.02235987,,,,,,,,
0,0,1,0,0,1,0.006371615,,,,,,,,
0,1,1,0,1,1,0.022912478,,,,,,,,
1,1,1,1,1,1,0.006943619,,,,,,,,
0,1,0,1,1,1,0.057790626,,,,,,,,
0,1,0,0,1,0,0.007170538,,,,,,,,
1,1,1,1,1,1,0.013702466,,,,,,,,
1,1,1,1,1,1,0.002220959,,,,,,,,
0,1,1,0,1,1,0.010785136,,,,,,,,
0,1,0,0,1,0,0.008761254,,,,,,,,
0,1,1,0,1,1,0.006367231,,,,,,,,
1,1,1,1,1,1,0.003116086,,,,,,,,
1,1,1,1,1,1,0.036988523,,,,,,,,
0,1,1,0,0,1,0.006242901,,,,,,,,
0,1,0,0,1,0,0.024308521,,,,,,,,
1,1,1,1,1,1,0.004363052,,,,,,,,
1,1,0,1,1,0,0.009648729,,,,,,,,
0,1,1,0,1,1,0.004010912,,,,,,,,
1,1,1,1,1,1,0.005226549,,,,,,,,
0,1,1,0,1,1,0.02855099,,,,,,,,
0,0,1,1,1,1,0.061327845,,,,,,,,
0,0,1,0,0,1,0.015134135,,,,,,,,
0,1,1,0,1,1,0.031761147,,,,,,,,
1,0,1,1,0,1,0.019620445,,,,,,,,
0,0,1,0,0,1,0.006108031,,,,,,,,
1,1,1,1,1,1,0.012183355,,,,,,,,
0,1,1,0,1,1,0.036905993,,,,,,,,
1,1,1,1,1,1,0.016170708,,,,,,,,
0,1,1,0,1,1,0.024933143,,,,,,,,
0,1,1,0,1,1,0.029304115,,,,,,,,
0,1,0,0,1,0,0.0148643,,,,,,,,
0,0,1,0,0,1,0.016430657,,,,,,,,
0,1,1,0,1,1,0.026711896,,,,,,,,
0,1,1,0,1,1,0.00660588,,,,,,,,
1,1,1,1,1,1,0.03940391,,,,,,,,
0,1,1,0,1,1,0.025010848,,,,,,,,
1,1,1,1,1,1,0.019501643,,,,,,,,
1,1,1,1,1,1,0.00976524,,,,,,,,
0,0,1,0,0,1,0.020115234,,,,,,,,
1,0,1,1,0,1,0.0049615,,,,,,,,
1,1,1,1,1,1,0.011683409,,,,,,,,
0,1,1,0,1,1,0.024697378,,,,,,,,
1,1,1,1,1,1,0.004674181,,,,,,,,
1,0,1,1,0,1,0.013788363,,,,,,,,
0,1,1,0,1,1,0.010537607,,,,,,,,
1,0,1,1,0,1,0.12129576,,,,,,,,
0,0,1,1,0,1,0.00696869,,,,,,,,
1,1,0,1,1,0,0.001618108,,,,,,,,
1,0,1,1,0,1,0.01091597,,,,,,,,
1,1,1,1,1,1,0.02413467,,,,,,,,
1,1,1,1,1,1,0.017942097,,,,,,,,
0,0,1,0,0,1,0.010656514,,,,,,,,
1,1,1,1,1,1,0.058312826,,,,,,,,
0,1,1,0,1,1,0.009613074,,,,,,,,
0,1,1,0,1,1,0.006979357,,,,,,,,
1,1,1,1,1,1,0.011551921,,,,,,,,
1,1,0,1,1,0,0.004740235,,,,,,,,
0,1,0,0,1,0,0.008307958,,,,,,,,
0,0,1,0,0,1,0.019379068,,,,,,,,
0,0,1,1,1,1,0.000147514,,,,,,,,
0,0,1,1,1,1,0.00653235,,,,,,,,
1,1,1,1,1,1,0.003624648,,,,,,,,
1,1,1,1,1,1,0.009233818,,,,,,,,
1,1,1,1,1,1,0.00552241,,,,,,,,
1,1,0,1,1,0,0.01252228,,,,,,,,
1,0,1,1,0,1,0.031397827,,,,,,,,
1,1,1,1,1,1,0.061092034,,,,,,,,
0,1,0,0,1,0,0.003196217,,,,,,,,
1,1,0,1,1,0,0.013355614,,,,,,,,
1,0,1,1,0,1,0.032502662,,,,,,,,
1,0,1,1,0,1,0.019705132,,,,,,,,
1,1,1,1,1,1,0.007215235,,,,,,,,
0,1,1,0,1,1,0.016496757,,,,,,,,
1,1,1,1,1,1,0.000548081,,,,,,,,
1,0,0,1,0,0,0.023416031,,,,,,,,
1,1,0,1,1,0,0.003977719,,,,,,,,
1,1,1,1,1,1,0.012112098,,,,,,,,
1,1,1,1,1,1,0.02269797,,,,,,,,
1,1,1,1,1,1,0.011545853,,,,,,,,
0,0,1,1,1,1,0.005967206,,,,,,,,
0,1,1,0,1,1,0.026707433,,,,,,,,
1,1,1,1,1,1,0.01011593,,,,,,,,
1,0,1,1,0,1,0.030391345,,,,,,,,
1,1,1,1,1,1,0.06351113,,,,,,,,
1,1,1,1,1,1,0.016346635,,,,,,,,
1,1,1,1,1,1,0.025412235,,,,,,,,
0,0,0,1,1,1,0.006327383,,,,,,,,
0,0,1,0,0,1,0.029679174,,,,,,,,
0,0,1,0,0,1,0.014571859,,,,,,,,
0,1,0,1,1,1,0.006484554,,,,,,,,
1,0,1,1,0,1,0.005636542,,,,,,,,
0,0,0,0,0,0,0.003345937,,,,,,,,
0,1,1,0,1,1,0.033199683,,,,,,,,
0,0,1,0,0,1,0.013353616,,,,,,,,
0,1,1,0,1,1,0.016100112,,,,,,,,
0,1,1,0,1,1,0.016401771,,,,,,,,
1,1,1,1,1,1,0.008456457,,,,,,,,
1,1,0,1,1,0,0.005885342,,,,,,,,
1,1,1,1,1,1,0.033673298,,,,,,,,
1,0,1,1,0,1,0.009938532,,,,,,,,
1,1,1,1,1,1,0.023205144,,,,,,,,
1,1,1,1,1,1,0.011434929,,,,,,,,
0,1,1,0,1,1,0.018730957,,,,,,,,
1,1,1,1,1,1,0.005738463,,,,,,,,
1,1,1,1,1,1,0.003995499,,,,,,,,
0,0,0,0,0,0,0.03225473,,,,,,,,
1,0,0,1,0,0,0.000175259,,,,,,,,
0,1,0,1,1,1,0.005119554,,,,,,,,
1,0,0,1,0,0,0.004289765,,,,,,,,
0,0,1,0,0,1,0.005755088,,,,,,,,
1,1,1,1,1,1,0.009811554,,,,,,,,
1,1,1,1,1,1,0.016164811,,,,,,,,
1,1,1,1,1,1,0.033258647,,,,,,,,
0,1,1,0,1,1,0.011031352,,,,,,,,
1,1,1,1,1,1,0.026976824,,,,,,,,
